airport_id,node_idx
54,611
55,612
5495,613
69,614
75,615
132,616
140,617
141,618
148,619
152,620
155,621
160,622
5534,623
170,624
183,625
187,626
41,627
1957,628
4024,629
1774,630
1772,631
1776,632
797,633
8492,634
813,635
827,636
2994,637
3042,638
3001,639
3131,640
2997,641
3135,642
3136,643
3057,644
6173,645
3007,646
3008,647
3050,648
3038,649
3040,650
3089,651
3100,652
3063,653
3098,654
3105,655
3144,656
3015,657
3061,658
3017,659
3020,660
3112,661
3153,662
3084,663
3066,664
1594,665
1605,666
337,667
3973,668
609,669
619,670
68,671
4244,672
139,673
145,674
206,675
4374,676
2960,677
6092,678
3235,679
3213,680
6198,681
3222,682
3223,683
3209,684
3236,685
3237,686
6197,687
3964,688
4363,689
3953,690
6008,691
2370,692
2305,693
2378,694
2246,695
410,696
8225,697
60,698
72,699
5509,700
147,701
2359,702
2311,703
7177,704
7220,705
3774,706
5967,707
6713,708
6714,709
7199,710
7178,711
3571,712
3411,713
3610,714
7091,715
7238,716
6755,717
7184,718
7087,719
3628,720
3764,721
6715,722
7185,723
5962,724
3664,725
6716,726
7108,727
7179,728
6717,729
7219,730
7190,731
5964,732
7207,733
6718,734
7183,735
6719,736
7208,737
5966,738
6720,739
7092,740
7111,741
7180,742
3615,743
7181,744
3693,745
6721,746
3414,747
6722,748
7239,749
7098,750
3620,751
7209,752
7117,753
6723,754
7090,755
7192,756
7240,757
7191,758
7241,759
6724,760
7200,761
7186,762
6767,763
7088,764
5968,765
3865,766
7187,767
7193,768
7182,769
7188,770
6725,771
2824,772
2851,773
3876,774
1779,775
1759,776
2745,777
1897,778
2773,779
2902,780
2868,781
2908,782
2979,783
2912,784
4330,785
1701,786
6147,787
2974,788
2191,789
8204,790
5955,791
1866,792
1867,793
8206,794
5840,795
8207,796
5957,797
1869,798
7962,799
7901,800
7895,801
5958,802
6783,803
2920,804
6162,805
6125,806
6122,807
6940,808
6141,809
6146,810
2993,811
6142,812
2961,813
2969,814
6114,815
6165,816
2964,817
6166,818
7003,819
4377,820
6159,821
2967,822
2987,823
3931,824
7160,825
7163,826
7165,827
